ApplicantIncome,CoapplicantIncome,CreditAmount,Credit_Status
2214.00,1398.00,85.00,1
5568.00,2142.00,175.00,0
10408.00,0.00,259.00,1
5667.00,2667.00,180.00,1
4166.00,0.00,44.00,1
2137.00,8980.00,137.00,1
2957.00,0.00,81.00,1
4300.00,2014.00,194.00,1
3692.00,0.00,93.00,1
23803.00,0.00,370.00,1
3865.00,1640.00,111.00,1
10513.00,3850.00,160.00,0
6080.00,2569.00,182.00,0
20166.00,0.00,650.00,1
2014.00,1929.00,74.00,1
2718.00,0.00,70.00,1
3459.00,0.00,25.00,1
4895.00,0.00,102.00,1
4000.00,7750.00,290.00,0
4583.00,0.00,84.00,0
3316.00,3500.00,88.00,1
14999.00,0.00,242.00,0
4200.00,1430.00,129.00,0
5042.00,2083.00,185.00,0
5417.00,0.00,168.00,1
6950.00,0.00,175.00,1
2698.00,2034.00,122.00,1
11757.00,0.00,187.00,1
2330.00,4486.00,100.00,1
14866.00,0.00,70.00,1
1538.00,1425.00,30.00,1
10000.00,1666.00,225.00,0
4860.00,830.00,125.00,1
6277.00,0.00,118.00,0
2577.00,3750.00,152.00,1
9166.00,0.00,244.00,0
2281.00,0.00,113.00,0
3254.00,0.00,50.00,1
39999.00,0.00,600.00,1
6000.00,0.00,160.00,1
9538.00,0.00,187.00,1
2980.00,2083.00,120.00,1
4583.00,5625.00,255.00,1
1863.00,1041.00,98.00,1
7933.00,0.00,275.00,0
3089.00,1280.00,121.00,0
4167.00,1447.00,158.00,1
9323.00,0.00,75.00,1
3707.00,3166.00,182.00,1
4583.00,0.00,112.00,0
2439.00,3333.00,129.00,1
2237.00,0.00,63.00,0
8000.00,0.00,200.00,1
1820.00,1769.00,95.00,1
51763.00,0.00,700.00,1
3522.00,0.00,81.00,0
5708.00,5625.00,187.00,1
4344.00,736.00,87.00,0
3497.00,1964.00,116.00,1
2045.00,1619.00,101.00,1
5516.00,11300.00,495.00,0
3750.00,0.00,116.00,1
2333.00,1451.00,102.00,0
6400.00,7250.00,180.00,0
1916.00,5063.00,67.00,0
4600.00,0.00,73.00,1
33846.00,0.00,260.00,0
3625.00,0.00,108.00,1
39147.00,4750.00,120.00,1
2178.00,0.00,66.00,0
2383.00,2138.00,58.00,1
674.00,5296.00,168.00,1
9328.00,0.00,188.00,1
4885.00,0.00,48.00,1
12000.00,0.00,164.00,0
6033.00,0.00,160.00,0
3858.00,0.00,76.00,1
4191.00,0.00,120.00,1
3125.00,2583.00,170.00,0
8333.00,3750.00,187.00,1
1907.00,2365.00,120.00,1
3416.00,2816.00,113.00,1
11000.00,0.00,83.00,0
2600.00,2500.00,90.00,1
4923.00,0.00,166.00,1
3992.00,0.00,111.00,0
3500.00,1083.00,135.00,1
3917.00,0.00,124.00,1
4408.00,0.00,120.00,1
3244.00,0.00,80.00,1
3975.00,2531.00,55.00,1
2479.00,0.00,59.00,1
3418.00,0.00,127.00,0
10000.00,0.00,214.00,0
3430.00,1250.00,128.00,0
7787.00,0.00,240.00,1
5703.00,0.00,130.00,1
3173.00,3021.00,137.00,1
3850.00,983.00,100.00,1
150.00,1800.00,135.00,0
3727.00,1775.00,131.00,1
5000.00,0.00,72.00,0
4283.00,2383.00,127.00,1
2221.00,0.00,60.00,0
4009.00,1717.00,116.00,1
2971.00,2791.00,144.00,1
7578.00,1010.00,175.00,1
6250.00,0.00,128.00,1
3250.00,0.00,170.00,0
4735.00,0.00,138.00,0
6250.00,1695.00,210.00,1
4758.00,0.00,158.00,1
6400.00,0.00,200.00,1
2491.00,2054.00,104.00,1
3716.00,0.00,42.00,1
3189.00,2598.00,120.00,1
8333.00,0.00,280.00,1
3155.00,1779.00,140.00,1
5500.00,1260.00,170.00,1
5746.00,0.00,255.00,0
3463.00,0.00,122.00,1
3812.00,0.00,112.00,1
3315.00,0.00,96.00,1
5819.00,5000.00,120.00,1
2510.00,1983.00,140.00,0
2965.00,5701.00,155.00,1
6250.00,1300.00,108.00,1
3406.00,4417.00,123.00,1
6050.00,4333.00,120.00,0
9703.00,0.00,112.00,1
6608.00,0.00,137.00,1
2882.00,1843.00,123.00,1
1809.00,1868.00,90.00,1
1668.00,3890.00,201.00,0
3427.00,0.00,138.00,0
2583.00,2167.00,104.00,1
2661.00,7101.00,279.00,1
16250.00,0.00,192.00,0
3083.00,0.00,255.00,1
6045.00,0.00,115.00,0
5250.00,0.00,94.00,0
14683.00,2100.00,304.00,0
4931.00,0.00,128.00,0
6083.00,4250.00,330.00,1
2060.00,2209.00,134.00,1
3481.00,0.00,155.00,0
7200.00,0.00,120.00,1
5166.00,0.00,128.00,1
4095.00,3447.00,151.00,1
4708.00,1387.00,150.00,1
4333.00,1811.00,160.00,1
3418.00,0.00,135.00,0
2876.00,1560.00,90.00,1
3237.00,0.00,30.00,1
11146.00,0.00,136.00,1
2833.00,1857.00,126.00,1
2620.00,2223.00,150.00,1
3900.00,0.00,90.00,1
2750.00,1842.00,115.00,1
3993.00,3274.00,207.00,1
3103.00,1300.00,80.00,1
14583.00,0.00,436.00,1
4100.00,0.00,124.00,1
4053.00,2426.00,158.00,0
3927.00,800.00,112.00,1
2301.00,985.80,78.00,1
1811.00,1666.00,54.00,1
20667.00,0.00,11.00,0
3158.00,3053.00,89.00,1
2600.00,1717.00,99.00,0
3704.00,2000.00,120.00,1
4124.00,0.00,115.00,1
9508.00,0.00,187.00,1
3075.00,2416.00,139.00,1
4400.00,0.00,127.00,0
3153.00,1560.00,134.00,1
5417.00,0.00,143.00,0
2383.00,3334.00,172.00,1
4416.00,1250.00,110.00,1
6875.00,0.00,200.00,1
4666.00,0.00,135.00,1
5000.00,2541.00,151.00,0
2014.00,2925.00,113.00,0
1800.00,2934.00,93.00,0
2875.00,1750.00,105.00,1
5000.00,0.00,132.00,1
1625.00,1803.00,96.00,1
4000.00,2500.00,140.00,1
2000.00,0.00,111.00,0
3762.00,1666.00,135.00,1
2400.00,1863.00,104.00,0
20233.00,0.00,480.00,0
7667.00,0.00,185.00,1
2917.00,0.00,84.00,1
2927.00,2405.00,111.00,1
2507.00,0.00,56.00,1
5746.00,0.00,144.00,1
2473.00,1843.00,159.00,0
3399.00,1640.00,111.00,1
3717.00,0.00,120.00,1
2058.00,2134.00,88.00,1
3541.00,0.00,112.00,1
10000.00,0.00,155.00,0
2400.00,2167.00,115.00,1
4342.00,189.00,124.00,1
3601.00,1590.00,11.00,1
3166.00,2985.00,132.00,1
15000.00,0.00,300.00,1
8666.00,4983.00,376.00,0
4917.00,0.00,130.00,1
5818.00,2160.00,184.00,1
4333.00,2451.00,110.00,0
2500.00,0.00,67.00,1
4384.00,1793.00,117.00,1
2935.00,0.00,98.00,1
2833.00,0.00,71.00,1
63337.00,0.00,490.00,1
9833.00,1833.00,182.00,1
5503.00,4490.00,70.00,1
5250.00,688.00,160.00,1
2500.00,4600.00,176.00,1
1830.00,0.00,11.00,0
4160.00,0.00,71.00,1
2647.00,1587.00,173.00,0
2378.00,0.00,46.00,0
4554.00,1229.00,158.00,1
3173.00,0.00,74.00,1
2583.00,2330.00,125.00,1
2499.00,2458.00,160.00,1
3523.00,3230.00,152.00,0
3083.00,2168.00,126.00,1
6333.00,4583.00,259.00,1
2625.00,6250.00,187.00,1
9083.00,0.00,228.00,1
8750.00,4167.00,308.00,0
2666.00,2083.00,95.00,1
5500.00,0.00,105.00,0
2423.00,505.00,130.00,1
3813.00,0.00,116.00,1
8333.00,3167.00,165.00,1
3875.00,0.00,67.00,0
3000.00,1666.00,100.00,0
5167.00,3167.00,200.00,1
4723.00,0.00,81.00,0
5000.00,3667.00,236.00,1
4750.00,2333.00,130.00,1
3013.00,3033.00,95.00,1
6822.00,0.00,141.00,1
6216.00,0.00,133.00,0
2500.00,0.00,96.00,0
5124.00,0.00,124.00,0
6325.00,0.00,175.00,1
19730.00,5266.00,570.00,0
15759.00,0.00,55.00,1
5185.00,0.00,155.00,1
9323.00,7873.00,380.00,1
3062.00,1987.00,111.00,0
2764.00,1459.00,110.00,1
4817.00,923.00,120.00,1
8750.00,4996.00,130.00,1
4310.00,0.00,130.00,1
3069.00,0.00,71.00,0
5391.00,0.00,130.00,1
3333.00,2500.00,128.00,1
5941.00,4232.00,296.00,1
6000.00,0.00,156.00,1
7167.00,0.00,128.00,1
4566.00,0.00,100.00,0
3667.00,0.00,113.00,1
2346.00,1600.00,132.00,1
3010.00,3136.00,11.00,0
2333.00,2417.00,136.00,1
5488.00,0.00,125.00,1
9167.00,0.00,185.00,1
9504.00,0.00,275.00,1
2583.00,2115.00,120.00,1
1993.00,1625.00,113.00,1
3100.00,1400.00,113.00,1
3276.00,484.00,135.00,1
3180.00,0.00,71.00,0
3033.00,1459.00,95.00,1
3902.00,1666.00,109.00,1
1500.00,1800.00,103.00,0
2889.00,0.00,45.00,0
2755.00,0.00,65.00,0
2500.00,20000.00,103.00,1
1963.00,0.00,53.00,1
7441.00,0.00,194.00,0
4547.00,0.00,115.00,1
2167.00,2400.00,115.00,1
2213.00,0.00,66.00,1
8300.00,0.00,152.00,0
81000.00,0.00,360.00,0
3867.00,0.00,62.00,0
6256.00,0.00,160.00,1
6096.00,0.00,218.00,0
2253.00,2033.00,110.00,1
2149.00,3237.00,178.00,0
2995.00,0.00,60.00,1
2600.00,0.00,160.00,0
1600.00,20000.00,239.00,0
1025.00,2773.00,112.00,1
3246.00,1417.00,138.00,1
5829.00,0.00,138.00,1
2720.00,0.00,80.00,0
1820.00,1719.00,100.00,1
7250.00,1667.00,110.00,0
14880.00,0.00,96.00,1
2666.00,4300.00,121.00,1
4606.00,0.00,81.00,0
5935.00,0.00,133.00,1
2920.00,16.00,87.00,1
2717.00,0.00,60.00,1
8624.00,0.00,150.00,1
6500.00,0.00,105.00,0
12876.00,0.00,405.00,1
2425.00,2340.00,143.00,1
3750.00,0.00,100.00,1
10047.00,0.00,1.00,1
1926.00,1851.00,50.00,1
2213.00,1125.00,111.00,1
10416.00,0.00,187.00,0
7142.00,0.00,138.00,1
3660.00,5064.00,187.00,1
7901.00,1833.00,180.00,1
4707.00,1993.00,148.00,1
37719.00,0.00,152.00,1
7333.00,8333.00,175.00,1
3466.00,1210.00,130.00,1
4652.00,0.00,110.00,1
3539.00,1376.00,55.00,0
3340.00,1710.00,150.00,0
2769.00,1542.00,190.00,0
2309.00,1255.00,125.00,0
1958.00,1456.00,60.00,1
3948.00,1733.00,149.00,0
2483.00,2466.00,90.00,1
7085.00,0.00,84.00,1
3859.00,0.00,96.00,1
4301.00,0.00,118.00,1
3708.00,2569.00,173.00,0
4354.00,0.00,136.00,1
8334.00,0.00,160.00,0
2083.00,4083.00,160.00,1
7740.00,0.00,128.00,1
3015.00,2188.00,153.00,1
5191.00,0.00,132.00,1
4166.00,0.00,98.00,0
6000.00,0.00,140.00,1
2947.00,1664.00,70.00,0
16692.00,0.00,110.00,1
210.00,2917.00,98.00,1
4333.00,2451.00,110.00,0
3450.00,2079.00,162.00,1
2653.00,1500.00,113.00,0
4691.00,0.00,100.00,1
2500.00,0.00,93.00,1
5532.00,4648.00,162.00,1
16525.00,1014.00,150.00,1
6700.00,1750.00,230.00,1
2873.00,1872.00,132.00,0
16667.00,2250.00,86.00,1
2947.00,1603.00,11.00,0
4350.00,0.00,154.00,1
3095.00,0.00,113.00,1
2083.00,3150.00,128.00,1
10833.00,0.00,234.00,1
8333.00,0.00,246.00,1
1958.00,2436.00,131.00,1
3547.00,0.00,80.00,0
18333.00,0.00,500.00,0
4583.00,2083.00,160.00,1
2435.00,0.00,75.00,0
2699.00,2785.00,96.00,1
5333.00,1131.00,186.00,1
3691.00,0.00,110.00,1
17263.00,0.00,225.00,1
3597.00,2157.00,119.00,0
3326.00,913.00,105.00,1
2600.00,1700.00,107.00,1
4625.00,2857.00,111.00,1
2895.00,0.00,95.00,1
6283.00,4416.00,209.00,0
645.00,3683.00,113.00,1
3159.00,0.00,100.00,1
4865.00,5624.00,208.00,1
4050.00,5302.00,138.00,0
3814.00,1483.00,124.00,1
3510.00,4416.00,243.00,1
20833.00,6667.00,480.00,1
3583.00,0.00,96.00,0
2479.00,3013.00,188.00,1
13262.00,0.00,40.00,1
3598.00,1287.00,100.00,0
6065.00,2004.00,250.00,1
3283.00,2035.00,148.00,1
2130.00,6666.00,70.00,0
5815.00,3666.00,311.00,0
3466.00,3428.00,150.00,1
2031.00,1632.00,113.00,1
3074.00,1800.00,123.00,0
4683.00,1915.00,185.00,0
3400.00,0.00,95.00,0
2192.00,1742.00,45.00,1
2500.00,0.00,55.00,1
5677.00,1424.00,100.00,1
7948.00,7166.00,480.00,1
4680.00,2087.00,11.00,0
17500.00,0.00,400.00,1
3775.00,0.00,110.00,1
5285.00,1430.00,161.00,1
2679.00,1302.00,94.00,1
6783.00,0.00,130.00,1
1025.00,5500.00,216.00,1
4281.00,0.00,100.00,1
3588.00,0.00,110.00,0
11250.00,0.00,196.00,0
18165.00,0.00,125.00,1
2550.00,2042.00,126.00,1
6133.00,3906.00,324.00,1
3617.00,0.00,107.00,1
2917.00,536.00,66.00,0
6417.00,0.00,157.00,1
4608.00,2845.00,140.00,1
2138.00,0.00,99.00,0
3652.00,0.00,95.00,1
2239.00,2524.00,128.00,1
3017.00,663.00,102.00,1
2768.00,1950.00,155.00,1
3358.00,0.00,80.00,0
2526.00,1783.00,145.00,1
5000.00,0.00,103.00,0
2785.00,2016.00,110.00,1
6633.00,0.00,11.00,0
2492.00,2375.00,11.00,1
3333.00,3250.00,158.00,1
2454.00,2333.00,181.00,0
3593.00,4266.00,132.00,0
5468.00,1032.00,26.00,1
2667.00,1625.00,84.00,1
10139.00,0.00,260.00,1
3887.00,2669.00,162.00,1
4180.00,2306.00,182.00,1
3675.00,242.00,108.00,1
19484.00,0.00,600.00,1
5923.00,2054.00,211.00,1
5800.00,0.00,132.00,1
8799.00,0.00,258.00,0
4467.00,0.00,120.00,1
3333.00,0.00,70.00,1
3400.00,2500.00,123.00,0
2378.00,0.00,9.00,0
3166.00,2064.00,104.00,0
3417.00,1750.00,186.00,1
5116.00,1451.00,165.00,0
16666.00,0.00,275.00,1
6125.00,1625.00,187.00,0
6406.00,0.00,150.00,0
3159.00,461.00,108.00,1
3087.00,2210.00,136.00,0
3229.00,2739.00,110.00,1
1782.00,2232.00,107.00,1
3182.00,2917.00,161.00,1
6540.00,0.00,205.00,1
1836.00,33837.00,90.00,0
3166.00,0.00,36.00,1
1880.00,0.00,61.00,0
2787.00,1917.00,146.00,0
4283.00,3000.00,172.00,0
2297.00,1522.00,104.00,1
2165.00,0.00,70.00,1
4750.00,0.00,94.00,1
2726.00,0.00,106.00,0
3000.00,3416.00,56.00,1
6000.00,0.00,205.00,0
9357.00,0.00,292.00,1
3859.00,3300.00,142.00,1
16120.00,0.00,260.00,1
3833.00,0.00,110.00,1
6383.00,1000.00,187.00,0
2987.00,0.00,88.00,0
9963.00,0.00,180.00,1
5780.00,0.00,192.00,1
416.00,41667.00,350.00,0
2894.00,2792.00,155.00,1
5703.00,0.00,128.00,1
3676.00,4301.00,172.00,1
12000.00,0.00,496.00,1
2400.00,3800.00,1.00,0
3400.00,2500.00,173.00,1
3987.00,1411.00,157.00,1
3232.00,1950.00,108.00,1
2900.00,0.00,71.00,1
4106.00,0.00,40.00,1
8072.00,240.00,253.00,1
7583.00,0.00,187.00,1
4583.00,0.00,133.00,0
